kode mesin,nama mesin,Bagian
250T-1,AIDA,Press 1
160T-1,AIDA,Press 1
160T-2,AIDA,Press 1
150T-1,AIDA,Press 1
150T-2,AIDA,Press 1
150T-3,AIDA,Press 1
110T-1,AIDA,Press 1
110T-2,AIDA,Press 1
110T-3,AIDA,Press 1
110T-4,AIDA,Press 1
110T-5,AIDA,Press 1
110T-6,AIDA,Press 1
110T-7,AIDA,Press 1
110T-8,AIDA,Press 1
110T-9,AIDA,Press 1
110T-10,AIDA,Press 1
110T-11,AIDA,Press 1
110T-12,AIDA,Press 1
110T-13,AIDA,Press 1
110T-14,AIDA,Press 1
110T-15,AIDA,Press 1
110T-16,AIDA,Press 1
110T-17,AIDA,Press 1
110T-18,AIDA,Press 1
110T-19,AIDA,Press 1
80T-1,AIDA,Press 1
80T-2,AIDA,Press 1
80T-3,AIDA,Press 1
80T-4,AIDA,Press 1
80T-5,AIDA,Press 1
80T-6,AIDA,Press 1
80T-7,AIDA,Press 1
80T-8,AIDA,Press 1
80T-9,AIDA,Press 1
80T-10,AIDA,Press 1
80T-11,AIDA,Press 1
80T-12,AIDA,Press 1
80T-13,AIDA,Press 1
80-14,AIDA,Press 1
80-15,AIDA,Press 1
80T-16,AIDA,Press 1
80T-17,AIDA,Press 1
80T-18,AIDA,Press 1
60T-1,AIDA,Press 1
60T-2,AIDA,Press 1
60T-3,AIDA,Press 1
60T-4,AIDA,Press 1
60T-5,AIDA,Press 1
60T-6,AIDA,Press 1
60T-7,AIDA,Press 1
60T-8,AIDA,Press 1
60T-9,AIDA,Press 1
60T-10,AIDA,Press 1
60T-11,AIDA,Press 1
60T-12,AIDA,Press 1
63T-3,AIDA,Press 1
45T-1,AIDA,Press 1
45T-2,AIDA,Press 1
45T-3,AIDA,Press 1
45T-4,AIDA,Press 1
45T-5,AIDA,Press 1
45T-6,AIDA,Press 1
45T-7,AIDA,Press 1
45T-8,AIDA,Press 1
45T-9,AIDA,Press 1
45T-10,AIDA,Press 1
45T-11,AIDA,Press 1
45T-12,AIDA,Press 1
40T-1,AIDA,Press 1
40T-2,AIDA,Press 1
32T-1,AIDA,Press 1
35T-1,AIDA,Press 1
35T-2,AIDA,Press 1
30T-1,AIDA,Press 1
30T-2,AIDA,Press 1
30T-3,AIDA,Press 1
30T-4,AIDA,Press 1
25T-1,AIDA,Press 1
25T-2,AIDA,Press 1
25T-3,AIDA,Press 1
M3-7,,Press 2
M3-8,,Press 2
M4-2,,Press 2
M4-3,,Press 2
M4-4,,Press 2
M5-7,,Press 2
M5-8,,Press 2
QC-2,,Press 2
M5-5,,Press 2
75T-1,,Injection
75T-2,,Injection
5T-6,,Injection
M5-T3,,Press 2
75T-T5,,Injection
75T-T3,,Injection
75T-T4,,Injection
75T-T6,,Injection
